buildtheworld 11747ea7 add_default_branch.py:13 magic-argument note
click 07c909f2 src/click/termui.py:573 magic-number note
click 07c909f2 src/click/termui.py:583 magic-number note
click 07c909f2 src/click/termui.py:699 magic-argument note
click 14588004 tests/test_options.py:1262 eq-without-hash verdict
click 3da1f439 tests/test_options.py:1262 eq-without-hash verdict
click 4a352253 src/click/core.py:738 assert-validation verdict
click 587e3cc7 src/click/testing.py:72 assert-validation verdict
click 6de21215 src/click/core.py:725 assert-validation verdict
click 8a4ce842 src/click/termui.py:573 magic-number note
click 8a4ce842 src/click/termui.py:583 magic-number note
click 8a4ce842 src/click/termui.py:699 magic-argument note
click ad39d749 src/click/testing.py:72 assert-validation verdict
click cd4674a6 src/click/testing.py:72 assert-validation verdict
click d340b0c1 tests/test_options.py:1262 eq-without-hash verdict
click d959898d src/click/testing.py:72 assert-validation verdict
cobra 10cf7be9 command.go:1099 panic note
cobra 2169adb5 command.go:1221 panic note
cobra 68b6b24f flag_groups.go:31 panic note
cobra 68b6b24f flag_groups.go:47 panic note
cobra 6b0bd307 command_test.go:2607 reflect note
cobra c81c46a0 flag_groups.go:47 panic note
curl 26b9f3aa lib/rtsp.c:443 goto note
curl 2d30fd26 lib/vdns/doh.c:1017 goto note
curl 2d30fd26 lib/vdns/doh.c:1059 goto note
curl 2d30fd26 lib/vdns/doh.c:1086 goto note
curl 2d30fd26 lib/vdns/doh.c:1118 goto note
curl 2d30fd26 lib/vdns/doh.c:1152 goto note
curl 2d30fd26 lib/vdns/doh.c:1181 goto note
curl 2d30fd26 lib/vdns/doh.c:1196 goto note
curl 406edd03 lib/cf-https-connect.c:690 goto note
curl 4433f71d lib/vtls/apple.c:220 goto note
curl 56457f83 tests/libtest/lib557.c:1257 goto note
curl 5ef4e1ca tests/libtest/lib530.c:344 goto note
curl 69a224d6 lib/vdns/asyn-ares.c:131 goto note
curl 69a224d6 lib/vdns/asyn-ares.c:242 goto note
curl 69a224d6 lib/vdns/asyn-ares.c:274 goto note
curl 69a224d6 lib/vdns/asyn-ares.c:565 goto note
curl 69a224d6 lib/vdns/asyn-thrdd.c:218 goto note
curl 69a224d6 lib/vdns/asyn-thrdd.c:238 goto note
curl 69a224d6 lib/vdns/asyn-thrdd.c:524 goto note
curl 69a224d6 lib/vdns/asyn-thrdd.c:606 goto note
curl 69a224d6 lib/vdns/asyn-thrdd.c:639 goto note
curl 69a224d6 lib/vdns/asyn-thrdd.c:653 goto note
curl 69a224d6 lib/vdns/asyn-thrdd.c:857 goto note
curl 69a224d6 lib/vdns/asyn-thrdd.c:898 goto note
curl 69a224d6 lib/vdns/cf-dns.c:410 goto note
curl 69a224d6 lib/vdns/cf-dns.c:445 goto note
curl 69a224d6 lib/vdns/dnscache.c:450 goto note
curl 69a224d6 lib/vdns/dnscache.c:479 goto note
curl 69a224d6 lib/vdns/dnscache.c:515 goto note
curl 69a224d6 lib/vdns/dnscache.c:574 goto note
curl 69a224d6 lib/vdns/dnscache.c:870 goto note
curl 69a224d6 lib/vdns/dnscache.c:902 goto note
curl 69a224d6 lib/vdns/dnscache.c:918 goto note
curl 69a224d6 lib/vdns/doh.c:1154 goto note
curl 69a224d6 lib/vdns/doh.c:1248 goto note
curl 69a224d6 lib/vdns/doh.c:1283 goto note
curl 69a224d6 lib/vdns/doh.c:307 goto note
curl 69a224d6 lib/vdns/doh.c:360 goto note
curl 69a224d6 lib/vdns/doh.c:473 goto note
curl 69a224d6 lib/vdns/doh.c:493 goto note
curl 69a224d6 lib/vdns/doh.c:506 goto note
curl 69a224d6 lib/vdns/hostip.c:584 goto note
curl 69a224d6 lib/vdns/hostip.c:611 goto note
curl 69a224d6 lib/vdns/hostip.c:637 goto note
curl 69a224d6 lib/vdns/hostip.c:722 goto note
curl 69a224d6 lib/vdns/hostip.c:736 goto note
curl 69a224d6 lib/vdns/hostip.c:796 goto note
curl 69a224d6 lib/vdns/hostip.c:867 goto note
curl 69a224d6 lib/vdns/httpsrr.c:266 goto note
curl 6e130eb4 lib/vquic/vquic.c:213 goto note
curl 6e130eb4 lib/vquic/vquic.c:233 goto note
curl 7103a93b lib/multi.c:2746 goto note
curl 7103a93b lib/multi.c:2766 goto note
curl 7103a93b lib/multi.c:2851 goto note
curl 7103a93b lib/multi.c:2876 goto note
curl 73a05428 lib/asyn-thrdd.c:224 goto note
curl 73a05428 lib/asyn-thrdd.c:235 goto note
curl 73a05428 lib/asyn-thrdd.c:243 goto note
curl 73a05428 lib/hostip.c:802 goto note
curl 7e7ee16d lib/ws.c:757 goto note
curl 7e7ee16d lib/ws.c:816 goto note
curl 7e7ee16d tests/libtest/cli_ws_write_err.c:70 goto note
curl 7f6a7566 tests/server/dnsd.c:1453 goto note
curl 7f6a7566 tests/server/dnsd.c:1511 goto note
curl 7f6a7566 tests/server/dnsd.c:791 goto note
curl 7f6a7566 tests/server/dnsd.c:837 goto note
curl 7f6a7566 tests/server/dnsd.c:967 goto note
curl 7f6a7566 tests/server/sws.c:1991 goto note
curl 7f6a7566 tests/server/sws.c:2100 goto note
curl 7f6a7566 tests/server/util.c:1024 goto note
curl 7f6a7566 tests/server/util.c:1037 goto note
curl 7f6a7566 tests/server/util.c:1047 goto note
curl 7f6a7566 tests/server/util.c:1083 goto note
curl 7f6a7566 tests/server/util.c:1105 goto note
curl 7f6a7566 tests/server/util.c:1114 goto note
curl 7f6a7566 tests/server/util.c:890 goto note
curl 7f6a7566 tests/server/util.c:918 goto note
curl 7f6a7566 tests/server/util.c:949 goto note
curl 7f6a7566 tests/server/util.c:966 goto note
